probe_config,condition,public_condition,scan_id,pa_s_mm,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm_raw,source_to_focus_mm_raw,ut_path_mm_display,geometry_center_mm_display,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,path_correction_factor,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,edm_detectability_db,detection_status,minus_6db_width_scan_id,minus_6db_s_min_mm,minus_6db_s_max_mm,minus_6db_length_raw_mm,minus_6db_calibration_factor,minus_6db_length_calibrated_mm,calibration_reference,v62f_layer,physics_chain,public_label,confidential_name_displayed,display_note,hardware_status
1D16,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,40.04551954692235,39.498834974233624,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.559297349165172,1.3706936541662302,-0.5759963036720268,0.972933422169452,0.4667577836928656,0.5962322826943547,0.8657679093390813,2.406005758984964,84.27358860000197,2.854993834907023,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,22.31720286891192,-13.027204774188094,WEAK,13.0,0.0,21.890849196385524,21.890849196385524,0.18272475243493314,4.0,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA1_TO_C1,PA1 → C1,50,82.57373423385732,EDM_02,C1,-66.245,159.7865,-51.63,3.0,-74.69426407127305,178.1270569580981,-72.06232435999999,-61.89954627987828,161.43774762125824,-51.8,28.727094730090545,29.20273339898191,28.53212590811775,28.716898998901897,4.651718686725452,4.5748330450470105,28.360480853496508,1.113290983084065,16,2.222582444905789,2.784827381663591,-0.9813171176598616,0.9751172315191073,0.8231022475033081,1.2146930706348495,1.5269319613183527,6.338320217757451,164.36817521223347,3.856172406594745,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,58.791870143941324,-4.613654497434155,MEDIUM,24.0,63.19765757409167,101.65044952980718,38.452791955715504,0.18272475243493314,7.026276890540104,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA1_TO_C1,PA1 → C1,96,154.4497044205247,EDM_03,C1,0.0,173.11,-51.63,3.0,-3.843236030686029,186.78552779633588,-65.72927873,5.973651988992262,172.79263645429106,-51.8,20.014499354271862,22.04987765134326,25.14751216320506,25.93820300367319,5.984491432505871,5.313386684458265,19.296323648394022,1.227046003250693,16,2.6627559724941188,3.997102229935366,0.993750341722905,0.965523283347587,1.1697867102573924,1.722708648785428,2.168495428568981,10.780946757160834,217.6882827151464,4.952469936688381,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,100.0,0.0,STRONG,21.0,137.50563061066026,169.83220467074216,32.326574060081896,0.18272475243493314,5.906865242197996,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA1_TO_C1,PA1 → C1,141,224.2832666214369,EDM_04,C1,67.37,159.429,-51.63,8.0,65.2875388602912,179.71812750380036,-70.11490618,71.53102972739876,157.40390840477244,-51.8,27.52593496590566,29.535425180438498,28.06550698776943,28.846140990267948,4.630773624499202,4.016832185596419,27.231271636484852,0.762045233034975,16,2.270558486810399,2.906349960467831,-0.7712878557539347,0.9799901085072876,1.4097842095629198,1.2757831465576628,2.6153080322376043,9.62875808044884,162.51670563994693,5.924780497200819,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,89.3127319644103,-0.9817325181427418,STRONG,24.0,203.87123900314015,241.8090545480404,37.937815544900246,0.18272475243493314,6.9321779533640555,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA1_TO_C1,PA1 → C1,161,256.3362941693228,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,95.82871286060352,171.70610106168317,-75.53442832,97.73236644340987,142.62321595664326,-51.8,36.401801764348264,37.58671561434308,31.513547378512374,31.973855189243572,2.688670376918154,2.3738773561786255,36.3243152445952,0.4016474318688345,16,1.9744325081179284,2.1976934141307143,-0.5854360449897943,0.9930081059223352,0.6614828310112967,0.980464918532394,1.2280151560933283,4.5332384463858535,127.70469357445856,3.5497821728398233,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,42.04861176384924,-7.524966757488886,MEDIUM,26.0,233.81480983958272,275.953168104648,42.13835826506528,0.18272475243493314,7.699721081998572,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,172,186.0036520622148,EDM_06,C2,94.9125,178.63,-51.36,4.0,74.69654769593639,139.3256928081772,-97.01785697,95.43,179.51,-51.8,63.5464648464596,63.947706588204085,28.335129734630602,28.55637750705321,1.1116682283847115,1.0334392848740028,63.53806101642388,0.0556321246311206,16,1.5034668871433408,1.258921329350032,-0.6806010171039806,0.9986932865652106,0.4400466979774696,0.5656014382114778,0.8171780614199458,2.1924470632979,75.06133145493317,2.9208741982071627,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,85.48481483353325,-1.3622204936723448,STRONG,32.0,168.32713432542647,204.21525411141155,35.88811978598508,0.12021945612794256,4.314450242125581,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,145,156.44724828385645,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,47.598933361388,151.04939742262195,-96.73057258,61.85,193.66,-51.8,62.98642471391462,63.541425107657645,28.026319312130383,28.33235078401924,1.3393801738117581,1.2135890720104634,62.97473223290379,0.0873429995525398,16,1.5101360894433649,1.2701149551409103,-0.9999039907477321,0.9981836466982568,0.5434594614870399,0.5702731895161194,1.0091894936411139,2.5647210765646595,75.54127078307427,3.395125671011758,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,100.0,0.0,STRONG,32.0,139.50276557565664,173.79553666973126,34.292771094074624,0.12021945612794256,4.122658290049681,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,117,126.98869455077842,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,19.045432453321975,158.07682644507008,-95.87908323,24.94,201.76,-51.8,61.96074425893738,62.33723732080004,27.460751246119866,27.66835240672575,1.0796968324487979,1.0088340831708793,61.95253088384746,0.0947239320984074,16,1.5225839668842038,1.291140075168813,0.8590253697495512,0.9987566976661978,0.4513371791950314,0.580121677421865,0.8381477717630044,2.277306461401337,77.00052498794946,2.9575206945118024,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,88.79353323097797,-1.0323732484751398,STRONG,32.0,110.434015011136,143.70649958919824,33.27248457806225,0.12021945612794256,4.0,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,74,82.38248106569033,EDM_09,C2,-33.2785,199.578,-51.36,4.0,-25.38325947836276,158.00749812419178,-95.07276046000001,-32.97,200.61,-51.8,60.83787369833382,61.196924723791774,26.84159181078209,27.03957529879918,1.1635275028979855,1.1034454771896978,60.82786601725633,0.0813001286154317,16,1.5365707144359844,1.314970348843585,0.4468376798475261,0.9985194861745831,0.4595582309717381,0.5906547432539158,0.8534063442372066,2.3400365569476955,78.43531389305066,2.9833966880510205,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,91.23941696155435,-0.7963499723331892,STRONG,31.0,65.42665842524042,98.02049922551515,32.593840800274734,0.12021945612794256,3.9184138141297726,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,20,23.348301668563124,EDM_10,C2,-100.4165,175.5925,-51.36,3.0,-81.00797007779987,139.09895099755246,-94.14684997,-101.35,176.24,-51.8,59.49104708181112,59.88748955115404,26.098941289304484,26.317542706132386,1.2183096896930596,1.1481306120280141,59.47996703923088,0.1263923150381636,16,1.5538666965915726,1.3447401571195294,0.8395677717373268,0.9983941745396331,0.40694815935371237,0.6039334710609193,0.7557036427442338,2.19603041812055,80.15029576252296,2.7398905983168937,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,85.62453196906871,-1.348035787667754,STRONG,31.0,5.911354604432892,41.41761548692733,35.50626088249444,0.12021945612794256,4.268543372430323,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,1,1.1855061690128526,EDM_11,C2,-122.10400000000001,161.2415,-51.36,3.0,-100.07751745712665,127.90456797971204,-92.79835191999999,-122.74,162.07,-51.8,57.564346427129465,57.98042532006059,25.03654377771918,25.265972869051602,1.1333614824935423,1.0503900327080375,57.554762273523124,0.1829342502001658,16,1.5796569263495397,1.389749123639782,0.7749186392205631,0.9986488056894631,0.4206761318112888,0.6243449293319533,0.7812044797877509,2.3078478598464622,82.7865606970505,2.7877083434976972,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,89.98436051914587,-0.916659306867966,STRONG,16.0,0.0,18.74492667424169,18.74492667424169,0.12021945612794256,2.253504889935499,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,40.04551954692235,39.49883497423363,4.915821014845835,4.763938398933852,58.16985941300453,2.225007314391579,32,1.559297349165172,1.3706936541662302,-0.5759963036720268,0.955776065577111,0.4585266657616795,0.5831568414065132,0.8499827632454987,2.8021866909131745,100.07488646250235,2.8000898027130336,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,22.39659962268439,-12.996358273677693,WEAK,9.0,0.0,15.17794705718902,15.17794705718902,0.26354025250769364,3.9999999999999996,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,49,80.97110238030359,EDM_02,C1,-66.245,159.7865,-51.63,3.0,-76.23332909894982,177.76107722107247,-72.31877421999998,-63.3035440285758,160.89279168331342,-51.8,29.169804990629626,29.54214776282818,28.70410717985145,28.84875253640041,3.1472121822965113,3.1009499756350203,29.004510553359978,2.224485494491333,32,2.205651888675213,2.7425620440623044,0.5646950796028825,0.9810987572510873,0.8155824330969732,1.20525870833034,1.5135102083101868,7.40577129330079,192.94467165221158,3.838287541129879,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,59.19095079963274,-4.5548936757386675,MEDIUM,20.0,64.82117796941134,96.9082126479158,32.087034678504466,0.26354025250769364,8.45622522139619,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,95,152.919166023382,EDM_03,C1,0.0,173.11,-51.63,3.0,-5.373589645022878,186.76903409992192,-65.74641227,4.46832107978627,172.8396788340046,-51.8,20.36462063463331,22.031626359487372,25.283525055664956,25.9311128576704,4.479717268405168,3.978297561994094,19.97225380623741,2.4072542881538093,32,2.6397668511724497,3.9283815512844438,-0.9884806893124908,0.9681801294764141,1.152838585753867,1.6985885352942092,2.1377141736202074,12.511661315206887,258.7189845630909,4.83600433742264,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,100.0,0.0,STRONG,19.0,137.50563061066026,166.75624358751023,29.250612976849965,0.26354025250769364,7.70871392992386,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,140,222.70861144600116,EDM_04,C1,67.37,159.429,-51.63,8.0,63.760866696173906,180.03991850661208,-69.9021585,70.15830933496864,158.02353773571153,-51.8,27.779625287971633,29.211922855660678,28.164058993684794,28.720468860698713,3.1271221792267867,2.7075889274381364,27.647360513078418,1.5603086085996625,32,2.2601670608456694,2.879808462882305,0.9998750557416156,0.9850154054186563,1.404072937247091,1.2720180677659272,2.60562151824121,11.340675036419508,195.1258062731552,5.811981127982518,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,90.64084097797516,-0.8535214736611287,STRONG,21.0,205.4260246555985,238.6093048137575,33.18328015815899,0.26354025250769364,8.745130031914762,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,160,254.71628884401153,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,94.31223338190297,172.17488171092018,-75.21046543999998,96.48753413538964,143.47098968365705,-51.8,36.56878715919862,37.10384404611377,31.578416804697234,31.78627230763835,1.1945968544137189,1.0602305722226384,36.55341441546186,0.90787649850048,32,1.9699193883057837,2.187658006040175,-0.7783453190340295,0.9977054851069816,0.661577103211383,0.9816582919909872,1.2285095798633279,5.3742507994190465,153.62289667118776,3.4983397109885357,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,42.95393444583647,-7.339940999934135,MEDIUM,22.0,237.0063696146538,272.67215630886335,35.665786694209544,0.26354025250769364,9.399370431277523,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
