condition,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,condition_order,scan_s_mm,scan_index_global,scan_pixel
A_PA1_to_C1,0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.800000000000004,64,0,0.0,0,0.0
A_PA1_to_C1,1,-125.5875311773166,139.02719128142945,-65.13280492576664,-123.25,121.26,-51.800000000000004,64,0,1.4073023839957135,1,0.6325035040266757
A_PA1_to_C1,2,-124.6997361978672,140.12576271513814,-65.53680832565904,-122.26,122.26,-51.800000000000004,64,0,2.814462644946821,2,1.2649431317146635
A_PA1_to_C1,3,-123.80814054759924,141.2216765912607,-65.93965723338754,-121.26,123.25,-51.800000000000004,64,0,4.221622905897929,3,1.8973827594026518
A_PA1_to_C1,4,-122.91267870531779,142.31487245796063,-66.3413259657362,-120.25,124.23,-51.800000000000004,64,0,5.628925289893642,4,2.529886263429327
A_PA1_to_C1,5,-122.01174866453803,143.40418686963125,-66.74131078089212,-119.24,125.21000000000001,-51.800000000000004,64,0,7.036227673889355,5,3.162389767456003
A_PA1_to_C1,6,-121.10663104890662,144.49049807357036,-67.13999408581748,-118.22000000000001,126.16999999999999,-51.800000000000004,64,0,8.436941777480778,6,3.791932208893277
A_PA1_to_C1,7,-120.19746436062516,145.57388656308214,-67.53741160967894,-117.19000000000003,127.13,-51.800000000000004,64,0,9.844954561513646,7,4.424754997899408
A_PA1_to_C1,8,-119.2841803722571,146.65428488520172,-67.93353475243892,-116.14999999999999,128.08,-51.800000000000004,64,0,11.253535407613757,8,5.057833098949433
A_PA1_to_C1,9,-118.36592519347505,147.73104304627157,-68.32808255362079,-115.10000000000001,129.02,-51.800000000000004,64,0,12.66282600929957,9,5.691230195334125
A_PA1_to_C1,10,-117.44257785267718,148.80403214082943,-68.72100263076132,-114.04999999999998,129.95000000000002,-51.800000000000004,64,0,14.065466376606908,10,6.321638384292225
A_PA1_to_C1,11,-116.514922269347,149.87380453703935,-69.1125338929097,-112.99,130.88,-51.800000000000004,64,0,15.475608213444584,11,6.955418063142794
A_PA1_to_C1,12,-115.58288695538624,150.9402844562672,-69.50264433810658,-111.91999999999999,131.79,-51.800000000000004,64,0,16.880243397398058,12,7.586722810319596
A_PA1_to_C1,13,-114.64639947593099,152.00339379708413,-69.8913011714731,-110.84000000000002,132.70000000000002,-51.800000000000004,64,0,18.29251107740776,13,8.221457936464654
A_PA1_to_C1,14,-113.7043365345142,153.06224053959426,-70.27812111471913,-109.76,133.6,-51.800000000000004,64,0,19.698356019070953,14,8.85330640189215
A_PA1_to_C1,15,-112.75724424129103,154.11719913348915,-70.66326812092449,-108.66999999999999,134.48,-51.800000000000004,64,0,21.099248591683153,15,9.48292905514622
A_PA1_to_C1,16,-111.80550111618676,155.16853095706625,-71.04685566781225,-107.56999999999996,135.36,-51.800000000000004,64,0,22.507935923918414,16,10.116055015742552
A_PA1_to_C1,17,-110.849031768006,156.216148479111,-71.42884697464697,-106.46000000000001,136.24,-51.800000000000004,64,0,23.92444571915454,17,10.752696734795938
A_PA1_to_C1,18,-109.88775968148192,157.25996132776058,-71.80920414042144,-105.35000000000001,137.1,-51.800000000000004,64,0,25.32861807324786,18,11.383793465904805
A_PA1_to_C1,19,-108.92107988638196,158.2994494986132,-72.1877053882543,-104.23,137.95000000000002,-51.800000000000004,64,0,26.734640832665377,19,12.015721850441347
A_PA1_to_C1,20,-107.94864743686082,159.33428339378025,-72.56421201203561,-103.10000000000001,138.79,-51.800000000000004,64,0,28.14265361669823,20,12.648544639447469
A_PA1_to_C1,21,-106.97120712934904,160.3650232243761,-72.93896483167389,-101.97000000000001,139.63,-51.800000000000004,64,0,29.5506664007311,21,13.281367428453601
A_PA1_to_C1,22,-105.9886806011947,161.39156820008367,-73.3119223265337,-100.83000000000001,140.45000000000002,-51.800000000000004,64,0,30.95494557525447,22,13.912512169355585
A_PA1_to_C1,23,-105.00098799462336,162.4138139103925,-73.68304140133728,-99.68,141.27,-51.800000000000004,64,0,32.36735486437714,23,14.54731094085588
A_PA1_to_C1,24,-104.00804838927863,163.43165260561454,-74.05227738223644,-98.52999999999999,142.08,-51.800000000000004,64,0,33.7739820360186,24,15.179510974793338
A_PA1_to_C1,25,-103.00947648346532,164.44471236433247,-74.41947317795703,-97.37,142.87,-51.800000000000004,64,0,35.177442046136434,25,15.81028754723148
A_PA1_to_C1,26,-102.004685778914,165.45243077134052,-74.78439012090905,-96.21000000000001,143.66,-51.800000000000004,64,0,36.58090205625428,26,16.44106411966963
A_PA1_to_C1,27,-100.99443787022501,166.4554065639786,-75.14728615286856,-95.02999999999999,144.44000000000003,-51.800000000000004,64,0,37.99539843306127,27,17.07680092004599
A_PA1_to_C1,28,-99.97865204218024,167.45352101051787,-75.50811248064949,-93.86,145.21,-51.800000000000004,64,0,39.396041142677085,28,17.7063112738948
A_PA1_to_C1,29,-98.95724657977786,168.4466515454952,-75.86681827461119,-92.66999999999999,145.97,-51.800000000000004,64,0,40.808025561854585,29,18.34091909018026
A_PA1_to_C1,30,-97.93013914227564,169.4346716568485,-76.22335155664793,-91.48,146.72,-51.800000000000004,64,0,42.21465273349601,30,18.9731191241177
A_PA1_to_C1,31,-96.89724697053715,170.41745089425962,-76.57765923268899,-90.27999999999999,147.46,-51.800000000000004,64,0,43.6244754173822,31,19.606755361613786
A_PA1_to_C1,32,-95.85848647488527,171.39485478818747,-76.9296856030413,-89.08000000000001,148.19000000000003,-51.800000000000004,64,0,45.029075004453176,32,20.238044109988078
A_PA1_to_C1,33,-94.81326018775638,172.36626166812073,-77.2791700240405,-87.87,148.91,-51.800000000000004,64,0,46.43708778848604,33,20.870866898994205
A_PA1_to_C1,34,-93.76170417127643,173.33171905220786,-77.62613400929244,-86.64999999999999,149.62,-51.800000000000004,64,0,47.84864720983536,34,21.50528370258859
A_PA1_to_C1,35,-92.7040723383632,174.2913942958,-77.97065069942045,-85.43,150.31999999999996,-51.800000000000004,64,0,49.25520328763671,35,22.13745178383166
A_PA1_to_C1,36,-91.64028159188729,175.24513757738708,-78.31266006500847,-84.20999999999998,151.01,-51.800000000000004,64,0,50.65680950908413,36,22.76739518221773
A_PA1_to_C1,37,-90.57025047081125,176.19279682622727,-78.652099442385,-82.98,151.69000000000003,-51.800000000000004,64,0,52.062263172496756,37,23.399067790013387
A_PA1_to_C1,38,-89.49389790372965,177.13421557530074,-78.9889050592017,-81.74,152.36,-51.800000000000004,64,0,53.47169568240988,38,24.03252866618844
A_PA1_to_C1,39,-88.4111426719469,178.0692323141224,-79.32301148830727,-80.5,153.02,-51.800000000000004,64,0,54.876402057422105,39,24.663865409753953
A_PA1_to_C1,40,-87.32190406766502,178.99768111829337,-79.65435128222146,-79.25,153.67,-51.800000000000004,64,0,56.28530233778263,40,25.297087078591055
A_PA1_to_C1,41,-86.22610253573342,179.91939200172868,-79.98285537263547,-77.99,154.30999999999997,-51.800000000000004,64,0,57.69852560393699,41,25.932251687121543
A_PA1_to_C1,42,-85.12365930706832,180.83419046085237,-80.30845245386091,-76.74,154.94000000000003,-51.800000000000004,64,0,59.0983113018208,42,26.56137686225564
A_PA1_to_C1,43,-84.01449627720152,181.7418966549487,-80.63107011321773,-75.47000000000001,155.55999999999997,-51.800000000000004,64,0,60.51156994764607,43,27.196557371964204
A_PA1_to_C1,44,-82.89853717976428,182.64232658248505,-80.95063473369008,-74.2,156.17,-51.800000000000004,64,0,61.92047022800663,44,27.829779040801323
A_PA1_to_C1,45,-81.77570602721802,183.53529052099293,-81.26706971245501,-72.93,156.77,-51.800000000000004,64,0,63.325069815077626,45,28.461067789175626
A_PA1_to_C1,46,-80.64582348921154,184.4204769839685,-81.58024546867003,-71.64999999999999,157.35,-51.800000000000004,64,0,64.73034558872493,46,29.09266044549733
A_PA1_to_C1,47,-79.50878396989144,185.29764221152698,-81.89006653611779,-70.37,157.93000000000004,-51.800000000000004,64,0,66.13562136237223,47,29.72425310181903
A_PA1_to_C1,48,-78.36470409990349,186.16679159789868,-82.19653532246785,-69.08,158.5,-51.800000000000004,64,0,67.5459404751974,48,30.358112456284832
A_PA1_to_C1,49,-77.21351525637408,187.02771728459427,-82.49957047786444,-67.79,159.05999999999997,-51.800000000000004,64,0,68.95224769625543,49,30.990168690376972
A_PA1_to_C1,50,-76.05515221567957,187.88020837156643,-82.79908752134475,-66.49,159.6,-51.800000000000004,64,0,70.35994084463687,50,31.622847821082058
A_PA1_to_C1,51,-74.88955223574898,188.72404937384061,-83.0949989297513,-65.19,160.14,-51.800000000000004,64,0,71.76763399301828,51,32.25552695178713
A_PA1_to_C1,52,-73.71665496632944,189.55901897357802,-83.38721635930006,-63.88999999999999,160.66,-51.800000000000004,64,0,73.16777684287325,52,32.884812646704184
A_PA1_to_C1,53,-72.53640296667295,190.38489062496797,-83.67564995326215,-62.57999999999999,161.18000000000004,-51.800000000000004,64,0,74.57720935278638,53,33.51827352287924
A_PA1_to_C1,54,-71.34874150332857,191.20143234679898,-83.96020704576208,-61.26,161.68000000000004,-51.800000000000004,64,0,75.98873335187389,54,34.15267440615332
A_PA1_to_C1,55,-70.15362113228008,192.0084093828919,-84.24079431973101,-59.94,162.18000000000004,-51.800000000000004,64,0,77.4002573509614,55,34.78707528942739
A_PA1_to_C1,56,-68.95099439080366,192.80558006060818,-84.51731481171478,-58.62,162.66,-51.800000000000004,64,0,78.80482134024774,56,35.41834803859372
A_PA1_to_C1,57,-67.7408184239931,193.59269790109772,-84.78967186808131,-57.300000000000004,163.13,-51.800000000000004,64,0,80.20599941601112,57,36.04809900950403
A_PA1_to_C1,58,-66.52304882046394,194.36950405264457,-85.05776186945316,-55.97000000000001,163.59,-51.800000000000004,64,0,81.61330180000682,58,36.680602513530694
A_PA1_to_C1,59,-65.29736445794792,195.1353362413338,-85.32131526549605,-54.63,164.04,-51.800000000000004,64,0,83.026843451321,59,37.31591021833637
A_PA1_to_C1,60,-64.06398870106675,195.89027226448488,-85.5803706287233,-53.300000000000004,164.48,-51.800000000000004,64,0,84.42773602393319,60,37.94553287159044
A_PA1_to_C1,61,-62.8228995497926,196.63404521676426,-85.83482177572114,-51.959999999999994,164.91,-51.800000000000004,64,0,85.8350384079289,61,38.57803637561712
A_PA1_to_C1,62,-61.574080991881786,197.36638378280423,-86.08456237099054,-50.61000000000001,165.33,-51.800000000000004,64,0,87.24886300808268,62,39.21347125005921
A_PA1_to_C1,63,-60.3175221924691,198.08701135089117,-86.32948341654753,-49.26,165.73,-51.800000000000004,64,0,88.65687579211556,63,39.84629403906534
A_PA1_to_C1,64,-59.0532189483899,198.7956474068054,-86.56947528206894,-47.91,166.13,-51.800000000000004,64,0,90.06488857614843,64,40.479116828071476
A_PA1_to_C1,65,-57.78117418123128,199.4920086289987,-86.80442607520538,-46.56,166.51,-51.800000000000004,64,0,91.46735069684902,65,41.109444905175415
A_PA1_to_C1,66,-56.50139772720847,200.17580744614372,-87.03422398879702,-45.199999999999996,166.89,-51.800000000000004,64,0,92.87944134549734,66,41.74410046565095
A_PA1_to_C1,67,-55.21390634241263,200.84675221234846,-87.25875552522025,-43.84,167.25,-51.800000000000004,64,0,94.28628177710286,67,42.37639634798324
A_PA1_to_C1,68,-53.9187252008448,201.50454957328992,-87.47790625334093,-42.48,167.6,-51.800000000000004,64,0,95.69059655663058,68,43.00755709133804
A_PA1_to_C1,69,-52.61588688166932,202.14890215357067,-87.69156066867265,-41.12,167.94000000000003,-51.800000000000004,64,0,97.09245246934059,69,43.63761271194466
A_PA1_to_C1,70,-51.305433226217545,202.77951170494578,-87.89960339828633,-39.75,168.27,-51.800000000000004,64,0,98.50163663047779,70,44.27096196927164
A_PA1_to_C1,71,-49.98700076908163,203.3952860211952,-88.10159506690974,-38.38,168.59,-51.800000000000004,64,0,99.90851260226776,71,44.90327382492384
A_PA1_to_C1,72,-48.66072424070704,203.99600512794532,-88.29745317406535,-37.0,168.89,-51.800000000000004,64,0,101.32074487778054,72,45.53799303873292
A_PA1_to_C1,73,-47.32700018966312,204.58196768582224,-88.48730791743925,-35.63,169.19000000000003,-51.800000000000004,64,0,102.72320699848113,73,46.168321115836854
A_PA1_to_C1,74,-45.98591039331693,205.15286772437383,-88.67104090949582,-34.25,169.47,-51.800000000000004,64,0,104.13132631160768,74,46.801191783696744
A_PA1_to_C1,75,-44.63754649554768,205.70839844121866,-88.84853507484068,-32.87,169.75,-51.800000000000004,64,0,105.53944562473424,75,47.43406245155663
A_PA1_to_C1,76,-43.282011396903435,206.2482558076494,-89.01967349375998,-31.490000000000002,170.01,-51.800000000000004,64,0,106.9437247992576,76,48.065207192458615
A_PA1_to_C1,77,-41.919417359232085,206.77213383026503,-89.18434026853464,-30.099999999999998,170.26,-51.800000000000004,64,0,108.35602788287669,77,48.69995823054076
A_PA1_to_C1,78,-40.549391092869115,207.27851561654757,-89.34193078350054,-28.710000000000004,170.5,-51.800000000000004,64,0,109.76659514465473,78,49.333929114045375
A_PA1_to_C1,79,-39.172223859249115,207.7673671887726,-89.49243903545896,-27.32999999999999,170.73,-51.800000000000004,64,0,111.16563052662333,79,49.96271706425121
A_PA1_to_C1,80,-37.78842126078581,208.23922993018812,-89.63609218903564,-25.94,170.94000000000003,-51.800000000000004,64,0,112.57140433488695,80,50.59453355920455
A_PA1_to_C1,81,-36.398144323079634,208.69380836243153,-89.77278007058169,-24.539999999999996,171.15000000000003,-51.800000000000004,64,0,113.98706672401792,81,51.230794416733836
A_PA1_to_C1,82,-35.00156598799799,209.13081320906835,-89.90239448340782,-23.150000000000002,171.33999999999997,-51.800000000000004,64,0,115.38999223879053,82,51.86133076348731
A_PA1_to_C1,83,-33.59882471196269,209.54981931125974,-90.02477205237446,-21.75,171.53,-51.800000000000004,64,0,116.80282627009075,83,52.496320432778056
A_PA1_to_C1,84,-32.1893973615706,209.9482143116595,-90.13887484508459,-20.36,171.70000000000002,-51.800000000000004,64,0,118.20318336740557,84,53.12570241991391
A_PA1_to_C1,85,-30.77429878000518,210.328098954824,-90.24555516389711,-18.960000000000004,171.86,-51.800000000000004,64,0,119.61229656371025,85,53.75901978252818
A_PA1_to_C1,86,-29.353752174889728,210.68921166922962,-90.34471752312658,-17.56,172.01,-51.800000000000004,64,0,121.02030934774312,86,54.39184257153431
A_PA1_to_C1,87,-27.92799141483867,211.03129818854404,-90.4362692640794,-16.16,172.14,-51.800000000000004,64,0,122.42633210716062,87,55.02377095607084
A_PA1_to_C1,88,-26.49708986336301,211.35339983708317,-90.5198371965285,-14.760000000000002,172.27,-51.800000000000004,64,0,123.83235486657811,88,55.65569934060738
A_PA1_to_C1,89,-25.060970741497925,211.65367905566978,-90.594698687592,-13.36,172.38,-51.800000000000004,64,0,125.23666964610584,89,56.28686008396219
A_PA1_to_C1,90,-23.62047023416736,211.93414305010464,-90.6616657715752,-11.950000000000001,172.49,-51.800000000000004,64,0,126.65095391738937,90,56.922501554800036
A_PA1_to_C1,91,-22.17586800900967,212.1945834286198,-90.72066392626357,-10.549999999999999,172.57999999999998,-51.800000000000004,64,0,128.05384379189843,91,57.55302188325364
A_PA1_to_C1,92,-20.727453063034623,212.43480425702376,-90.77162563826467,-9.14,172.66000000000003,-51.800000000000004,64,0,129.46611147190814,92,58.1877570093987
A_PA1_to_C1,93,-19.275095162868993,212.65187307593305,-90.81339786387643,-7.740000000000001,172.73,-51.800000000000004,64,0,130.8678603795232,93,58.81776453721569
A_PA1_to_C1,94,-17.819519238473163,212.8477616926178,-90.84677561774734,-6.329999999999999,172.78,-51.800000000000004,64,0,132.27874662582371,94,59.45187878637541
A_PA1_to_C1,95,-16.361134123678585,213.0228626326401,-90.87192424144814,-4.920000000000001,172.82999999999998,-51.800000000000004,64,0,133.68963287212424,95,60.085993035535125
A_PA1_to_C1,96,-14.90026325715754,213.17704027493127,-90.8888001372905,-3.52,172.86,-51.800000000000004,64,0,135.08995426380545,96,60.71535897499095
A_PA1_to_C1,97,-13.43703824777575,213.30785671798188,-90.8964513331106,-2.11,172.89,-51.800000000000004,64,0,136.50027337663064,97,61.34921832945677
A_PA1_to_C1,98,-11.971971855513626,213.41633410235178,-90.89529536304707,-0.7000000000000001,172.90000000000003,-51.800000000000004,64,0,137.91030883717764,98,61.982950198129956
A_PA1_to_C1,99,-10.505520051148407,213.5035449776888,-90.88576482916936,0.7000000000000001,172.90000000000003,-51.800000000000004,64,0,139.31030883717764,99,62.612171690047816
A_PA1_to_C1,100,-9.03802752308437,213.56942533875434,-90.86784563242013,2.11,172.89,-51.800000000000004,64,0,140.72034429772464,100,63.24590355872101
A_PA1_to_C1,101,-7.569807923952865,213.61171415695904,-90.84065939040937,3.52,172.86,-51.800000000000004,64,0,142.13066341054983,101,63.87976291318682
A_PA1_to_C1,102,-6.1013043485989,213.63124009584075,-90.8045463307863,4.920000000000001,172.82999999999998,-51.800000000000004,64,0,143.53098480223105,102,64.50912885264265
A_PA1_to_C1,103,-4.63290635035838,213.62934326947368,-90.76004220259483,6.329999999999999,172.78,-51.800000000000004,64,0,144.94187104853157,103,65.14324310180237
A_PA1_to_C1,104,-3.1649638383140877,213.60603355183594,-90.70716071871894,7.740000000000001,172.73,-51.800000000000004,64,0,146.3527572948321,104,65.77735735096209
A_PA1_to_C1,105,-1.697943285825935,213.55919295710225,-90.64508693655804,9.14,172.66000000000003,-51.800000000000004,64,0,147.75450620244715,105,66.40736487877906
A_PA1_to_C1,106,-0.2322283949211496,213.48964013175782,-90.57415246751472,10.549999999999999,172.57999999999998,-51.800000000000004,64,0,149.16677388245685,106,67.04210000492414
A_PA1_to_C1,107,1.2318954371084003,213.39884013213708,-90.494939805427,11.950000000000001,172.49,-51.800000000000004,64,0,150.5696637569659,107,67.67262033337774
A_PA1_to_C1,108,2.6940895608745743,213.2868762750944,-90.40749239818872,13.36,172.38,-51.800000000000004,64,0,151.98394802824942,108,68.30826180421558
A_PA1_to_C1,109,4.153793231843601,213.15203258624499,-90.31115359116731,14.760000000000002,172.27,-51.800000000000004,64,0,153.38826280777715,109,68.93942254757039
A_PA1_to_C1,110,5.610639042819751,212.9946945263486,-90.20608538842838,16.16,172.14,-51.800000000000004,64,0,154.79428556719466,110,69.57135093210692
A_PA1_to_C1,111,7.064485336711198,212.81660122945664,-90.09297442379187,17.56,172.01,-51.800000000000004,64,0,156.20030832661217,111,70.20327931664347
A_PA1_to_C1,112,8.51502038884186,212.61790787921868,-89.97189010856013,18.960000000000004,171.86,-51.800000000000004,64,0,157.60832111064505,112,70.83610210564962
A_PA1_to_C1,113,9.961751170364483,212.3978116720477,-89.8425329653821,20.36,171.70000000000002,-51.800000000000004,64,0,159.01743430694972,113,71.46941946826387
A_PA1_to_C1,114,11.404091829012078,212.15529861284764,-89.70452284322877,21.75,171.53,-51.800000000000004,64,0,160.41779140426456,114,72.09880145539974
A_PA1_to_C1,115,12.842164013141215,211.89280589036775,-89.55881087418322,23.150000000000002,171.33999999999997,-51.800000000000004,64,0,161.83062543556477,115,72.73379112469048
A_PA1_to_C1,116,14.27569473601576,211.61054562237044,-89.40548865092514,24.539999999999996,171.15000000000003,-51.800000000000004,64,0,163.23355095033736,116,73.36432747144394
A_PA1_to_C1,117,15.704420609000886,211.3087399634558,-89.24465069119623,25.94,170.94000000000003,-51.800000000000004,64,0,164.64921333946833,117,74.00058832897322
A_PA1_to_C1,118,17.12746706111787,210.9853888030928,-89.07554022675586,27.32999999999999,170.73,-51.800000000000004,64,0,166.05498714773194,118,74.63240482392656
A_PA1_to_C1,119,18.54500242105926,210.64245975846785,-88.89892252982665,28.710000000000004,170.5,-51.800000000000004,64,0,167.45402252970052,119,75.26119277413238
A_PA1_to_C1,120,19.95695951902884,210.28081088695933,-88.71513602499982,30.099999999999998,170.26,-51.800000000000004,64,0,168.86458979147855,120,75.895163657637
A_PA1_to_C1,121,21.363122551409962,209.90070433483737,-88.52429015015632,31.490000000000002,170.01,-51.800000000000004,64,0,170.27689287509764,121,76.52991469571914
A_PA1_to_C1,122,22.763287163308185,209.50241116711734,-88.32649553713337,32.87,169.75,-51.800000000000004,64,0,171.68117204962098,122,77.16105943662112
A_PA1_to_C1,123,24.15657910066909,209.08432508444196,-88.12115160875746,34.25,169.47,-51.800000000000004,64,0,173.08929136274753,123,77.793930104481
A_PA1_to_C1,124,25.543293466436644,208.64820724072277,-87.90893755362836,35.63,169.19000000000003,-51.800000000000004,64,0,174.49741067587408,124,78.42680077234088
A_PA1_to_C1,125,26.92344255045924,208.1948571715838,-87.69016649807516,37.0,168.89,-51.800000000000004,64,0,175.89987279657467,125,79.05712884944482
A_PA1_to_C1,126,28.296872416348656,207.72456819260202,-87.46495907252391,38.38,168.59,-51.800000000000004,64,0,177.31210507208743,126,79.6918480632539
A_PA1_to_C1,127,29.663439688942976,207.23763640733537,-87.2334345109946,39.75,168.27,-51.800000000000004,64,0,178.71898104387742,127,80.3241599189061
A_PA1_to_C1,128,31.023012683729167,206.73436170913817,-86.99571479085466,41.12,167.94000000000003,-51.800000000000004,64,0,180.12816520501462,128,80.95750917623307
A_PA1_to_C1,129,32.37470356525212,206.2133764793259,-86.75128976688967,42.48,167.6,-51.800000000000004,64,0,181.53002111772463,129,81.5875647968397
A_PA1_to_C1,130,33.719101063085496,205.6766080948198,-86.50089817554122,43.84,167.25,-51.800000000000004,64,0,182.93433589725237,130,82.21872554019451
A_PA1_to_C1,131,35.05617762104751,205.12451340531013,-86.24471920298933,45.199999999999996,166.89,-51.800000000000004,64,0,184.34117632885787,131,82.85102142252678
A_PA1_to_C1,132,36.38584781708681,204.55739637263824,-85.98287507018212,46.56,166.51,-51.800000000000004,64,0,185.75326697750617,132,83.48567698300232
