probe_config,condition,public_condition,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,scan_id,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,central_focus_distance_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,relative_amplitude_percent,amplitude_note,calibration_status,detection_status
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,60.12255445141427,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,MEDIUM
1D16,A_PA1_to_C1,PA1 → C1,EDM_02,C1,-66.245,159.7865,-51.63,3.0,47,-79.30988116704236,177.0045416762596,-72.86560265999998,-66.09602538619683,159.76365099342593,-51.8,30.30021286076633,30.2591128680833,0.2271904766032794,0.22359211967893458,30.299387881139893,1.1075624740129566,16,69.23884103681087,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D16,A_PA1_to_C1,PA1 → C1,EDM_03,C1,0.0,173.11,-51.63,3.0,92,-9.990029023332184,186.67257841577822,-65.83833691,-0.049397240592256,172.9,-51.8,22.03681126931073,22.035765919464826,0.2746635894656056,0.2746627810653987,22.03509952952148,1.2315057084840824,16,69.2174555808819,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D16,A_PA1_to_C1,PA1 → C1,EDM_04,C1,67.37,159.429,-51.63,8.0,136,57.624374283725686,181.2578103994387,-69.10133061,64.61080693984232,160.37167722406306,-51.8,29.609484584171234,28.006728497889636,2.9207339303657167,2.5083288252735905,29.50304838223629,0.842510411453409,16,100.0,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D16,A_PA1_to_C1,PA1 → C1,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,159,92.79007989862173,172.6377261520369,-74.89308216,95.23370157543052,144.30534980607135,-51.8,36.806398694291836,36.6331172568935,0.4084268400819778,0.3707149374376259,36.80453172203565,0.4398427116342631,16,69.15738106330843,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D16,B_PA2_to_C2,PA2 → C2,EDM_06,C2,94.9125,178.63,-51.36,4.0,172,74.69654769593639,139.3256928081772,-97.01785697,95.43,179.51,-51.8,63.5464648464596,63.947706588204085,1.1116682283847115,1.0334392848740028,63.53806101642388,0.0556321246311206,16,78.90482160046706,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D16,B_PA2_to_C2,PA2 → C2,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,145,47.598933361388,151.04939742262195,-96.73057258,61.85,193.66,-51.8,62.98642471391462,63.541425107657645,1.3393801738117581,1.2135890720104634,62.97473223290379,0.0873429995525398,16,96.10474509037961,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D16,B_PA2_to_C2,PA2 → C2,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,117,19.045432453321975,158.07682644507008,-95.87908323,24.94,201.76,-51.8,61.96074425893738,62.33723732080004,1.0796968324487979,1.0088340831708793,61.95253088384746,0.0947239320984074,16,78.95927989059305,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D16,B_PA2_to_C2,PA2 → C2,EDM_09,C2,-33.2785,199.578,-51.36,4.0,74,-25.38325947836276,158.00749812419178,-95.07276046000001,-32.97,200.61,-51.8,60.83787369833382,61.196924723791774,1.1635275028979855,1.1034454771896978,60.82786601725633,0.0813001286154317,16,78.76769209140839,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D16,B_PA2_to_C2,PA2 → C2,EDM_10,C2,-100.4165,175.5925,-51.36,3.0,20,-81.00797007779987,139.09895099755246,-94.14684997,-101.35,176.24,-51.8,59.49104708181112,59.88748955115404,1.2183096896930596,1.1481306120280141,59.47996703923088,0.1263923150381636,16,68.1229721296466,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D16,B_PA2_to_C2,PA2 → C2,EDM_11,C2,-122.10400000000001,161.2415,-51.36,3.0,1,-100.07751745712665,127.90456797971204,-92.79835191999999,-122.74,162.07,-51.8,57.564346427129465,57.98042532006059,1.1333614824935423,1.0503900327080375,57.554762273523124,0.1829342502001658,16,68.30057726162197,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,4.915821014845835,4.763938398933852,58.16985941300453,2.225007314391579,32,56.23743433319933,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,MEDIUM
1D32,A_PA1_to_C1,PA1 → C1,EDM_02,C1,-66.245,159.7865,-51.63,3.0,47,-79.30988116704236,177.0045416762596,-72.86560265999998,-66.09602538619683,159.76365099342593,-51.8,30.30021286076633,30.2591128680833,0.2271904766032794,0.22359211967893458,30.299387881139893,2.222567576160932,32,82.17826929582704,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,A_PA1_to_C1,PA1 → C1,EDM_03,C1,0.0,173.11,-51.63,3.0,92,-9.990029023332182,186.67257841577825,-65.83833691,-0.049397240592256,172.9,-51.8,22.036811269310746,22.03576591946484,0.2746635894656056,0.274662781065399,22.035099529521496,2.4162276783155097,32,82.13163290993646,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,A_PA1_to_C1,PA1 → C1,EDM_04,C1,67.37,159.429,-51.63,8.0,136,57.624374283725686,181.2578103994387,-69.10133060999999,64.61080693984232,160.37167722406306,-51.8,29.609484584171224,28.006728497889625,2.9207339303657167,2.5083288252735905,29.50304838223628,1.681849079277784,32,100.0,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,A_PA1_to_C1,PA1 → C1,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,159,92.79007989862173,172.6377261520369,-74.89308216,95.23370157543052,144.30534980607135,-51.8,36.806398694291836,36.6331172568935,0.4084268400819778,0.3707149374376259,36.80453172203565,0.939654101835938,32,82.00125775563322,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,B_PA2_to_C2,PA2 → C2,EDM_06,C2,94.9125,178.63,-51.36,4.0,172,74.69654769593639,139.3256928081772,-97.01785697,95.43,179.51,-51.8,63.5464648464596,63.947706588204085,1.1116682283847115,1.0334392848740028,63.53806101642388,0.2217264168521389,32,92.62838415399422,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,B_PA2_to_C2,PA2 → C2,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,144,46.584297836498095,151.39297268814192,-96.70711426,60.56,194.07,-51.8,62.979995084588914,63.50825003336721,2.0577388682726525,1.9802441897057066,62.94885554006507,0.2732313223726059,32,100.0,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,B_PA2_to_C2,PA2 → C2,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,117,19.045432453321975,158.07682644507008,-95.87908322999999,24.94,201.76,-51.8,61.96074425893737,62.337237320800035,1.0796968324487979,1.0088340831708646,61.952530883847444,0.2974073162938921,32,92.74545354522365,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,B_PA2_to_C2,PA2 → C2,EDM_09,C2,-33.2785,199.578,-51.36,4.0,74,-25.38325947836276,158.00749812419178,-95.07276046,-32.97,200.61,-51.8,60.83787369833381,61.19692472379177,1.1635275028979855,1.1034454771896978,60.827866017256326,0.2757563624301511,32,92.33235652628447,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,B_PA2_to_C2,PA2 → C2,EDM_10,C2,-100.4165,175.5925,-51.36,3.0,20,-81.00797007779988,139.09895099755246,-94.14684997,-101.35,176.24,-51.8,59.49104708181111,59.88748955115404,1.2183096896930596,1.1481306120280186,59.47996703923087,0.3569490767296273,32,79.76502683344772,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
1D32,B_PA2_to_C2,PA2 → C2,EDM_11,C2,-122.10400000000001,161.2415,-51.36,3.0,1,-100.07751745712665,127.90456797971204,-92.79835192,-122.74,162.07,-51.8,57.56434642712947,57.980425320060604,1.1333614824935423,1.0503900327080424,57.554762273523124,0.4527382305324785,32,80.14761410720824,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,0,-149.90804692985944,151.2775293093675,-92.07492606,-124.23,120.25,-51.800000000000004,58.364609595178024,56.95734665795265,4.915821014845836,4.763938398933851,58.16985941300452,0.5193508914413556,64,45.17800284845545,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,MEDIUM
2D8x8,A_PA1_to_C1,PA1 → C1,EDM_02,C1,-66.245,159.7865,-51.63,3.0,47,-79.30988116704236,177.0045416762596,-72.86560265999998,-66.09602538619684,159.76365099342593,-51.800000000000004,30.30021286076633,30.25911286808329,0.2271904766032754,0.22359211967892983,30.29938788113989,0.5420112677184807,64,95.07780849445362,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,A_PA1_to_C1,PA1 → C1,EDM_03,C1,0.0,173.11,-51.63,3.0,92,-9.990029023332182,186.67257841577825,-65.83833691,-0.049397240592256,172.90000000000003,-51.800000000000004,22.036811269310746,22.03576591946482,0.2746635894655883,0.274662781065371,22.035099529521496,0.6110459041371543,64,94.98616228864525,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,A_PA1_to_C1,PA1 → C1,EDM_04,C1,67.37,159.429,-51.63,8.0,136,57.624374283725686,181.2578103994387,-69.10133061,64.6108069398423,160.37167722406306,-51.800000000000004,29.609484584171234,28.006728497889625,2.9207339303657305,2.5083288252736056,29.503048382236294,0.4199769347179174,64,100.0,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,A_PA1_to_C1,PA1 → C1,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,159,92.79007989862173,172.6377261520369,-74.89308216000002,95.2337015754305,144.30534980607135,-51.800000000000004,36.80639869429184,36.6331172568935,0.4084268400819936,0.37071493743764455,36.80453172203566,0.2244739287313493,64,94.73104446551497,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,B_PA2_to_C2,PA2 → C2,EDM_06,C2,94.9125,178.63,-51.36,4.0,172,74.69654769593639,139.32569280817717,-97.01785697,95.43,179.51,-51.800000000000004,63.54646484645962,63.9477065882041,1.1116682283847141,1.0334392848740028,63.538061016423896,0.0243540386194887,64,100.0,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,B_PA2_to_C2,PA2 → C2,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,144,46.584297836498095,151.39297268814192,-96.70711426,60.56,194.06999999999996,-51.800000000000004,62.979995084588914,63.50825003336719,2.0577388682726308,1.980244189705699,62.94885554006507,0.0390105509313087,64,100.0,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,B_PA2_to_C2,PA2 → C2,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,117,19.045432453321975,158.07682644507008,-95.87908322999999,24.94,201.76,-51.800000000000004,61.96074425893737,62.33723732080003,1.0796968324488008,1.0088340831708742,61.95253088384746,0.046186560509728,64,100.0,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,B_PA2_to_C2,PA2 → C2,EDM_09,C2,-33.2785,199.578,-51.36,4.0,73,-26.417750284294744,157.84558857043692,-95.06842734,-34.300000000000004,200.39,-51.800000000000004,60.82015020471371,61.19079676671592,1.3771006680704152,1.3221822702457338,60.80577690456873,0.043653672744842,64,100.0,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,B_PA2_to_C2,PA2 → C2,EDM_10,C2,-100.4165,175.5925,-51.36,3.0,20,-81.00797007779988,139.09895099755246,-94.14684997,-101.35000000000001,176.24,-51.800000000000004,59.49104708181111,59.88748955115404,1.2183096896930732,1.1481306120280232,59.47996703923087,0.065480550158842,64,90.38963234752681,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
2D8x8,B_PA2_to_C2,PA2 → C2,EDM_11,C2,-122.10400000000001,161.2415,-51.36,3.0,1,-100.07751745712665,127.90456797971203,-92.79835192,-122.74,162.06999999999996,-51.800000000000004,57.56434642712948,57.98042532006059,1.1333614824935243,1.0503900327080389,57.55476227352314,0.0964482584499073,64,91.12743230927862,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,STRONG
