condition,scan_id,focus_x,focus_y,focus_z,max_response_raw,mean_response_raw,n_elements,sigma_mm,physics_level
A+B_2D8x8,0,-124.01999999999998,140.75,-51.79999999999998,1.994009338564905e-30,1.4186284795274488e-33,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,1,-122.995,141.665,-51.79999999999998,3.5389210491797395e-30,2.7239530674619627e-33,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,2,-121.96000000000004,142.57000000000005,-51.79999999999998,5.8223365300208235e-30,5.2655896728937465e-33,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,3,-120.91499999999998,143.465,-51.79999999999998,1.3329718338161546e-29,1.0192227463529335e-32,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,4,-119.86500000000001,144.355,-51.79999999999998,3.7910648996331344e-29,1.9922829842829997e-32,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,5,-118.81500000000004,145.24,-51.79999999999998,9.699526320066309e-29,3.9305356136666676e-32,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,6,-117.755,146.11499999999998,-51.79999999999998,2.202848217095576e-28,7.744772034442059e-32,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,7,-116.68500000000004,146.97999999999996,-51.79999999999998,4.652172370891727e-28,1.6084476006422221e-31,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,8,-115.60999999999997,147.83999999999997,-51.79999999999998,9.368692252255044e-28,3.4815427574430958e-31,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,9,-114.52500000000002,148.69000000000005,-51.79999999999998,1.8567937033407534e-27,6.302577135983986e-31,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,10,-113.43999999999996,149.53499999999997,-51.79999999999998,3.611092537054645e-27,1.0572472818397942e-30,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,11,-112.34500000000001,150.37000000000006,-51.79999999999998,7.027415379346013e-27,2.039450930673573e-30,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,12,-111.24499999999996,151.19499999999996,-51.79999999999998,1.360728032679219e-26,4.0347174929441444e-30,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,13,-110.13500000000003,152.015,-51.79999999999998,2.603823615327021e-26,7.504096693786598e-30,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,14,-109.02499999999999,152.82999999999998,-51.79999999999998,4.798700243112764e-26,1.2885858508000483e-29,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,15,-107.91000000000003,153.625,-51.79999999999998,8.571926625876248e-26,2.2393816942649884e-29,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,16,-106.78499999999998,154.42000000000002,-51.79999999999998,1.5164630766948954e-25,4.227954447270438e-29,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,17,-105.64999999999998,155.21,-51.79999999999998,2.6974879591829597e-25,7.403899764832272e-29,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,18,-104.51500000000003,155.99000000000004,-51.79999999999998,4.815577127752856e-25,1.2200397865267656e-28,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,19,-103.375,156.755,-51.79999999999998,8.592297338301187e-25,2.2092052811898974e-28,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,20,-102.22499999999997,157.515,-51.79999999999998,1.5198747138480601e-24,4.110659938347991e-28,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,21,-101.07000000000002,158.27,-51.79999999999998,2.6560578372989847e-24,7.433335390279686e-28,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,22,-99.91000000000001,159.01000000000002,-51.79999999999998,4.6958062189630345e-24,1.2933144354189304e-27,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,23,-98.74499999999998,159.74499999999998,-51.79999999999998,8.160555972014983e-24,2.1928296359746686e-27,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,24,-97.57499999999996,160.47499999999997,-51.79999999999998,1.3817452281069524e-23,3.837216427678037e-27,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,25,-96.40000000000003,161.19,-51.79999999999998,2.3423685206184673e-23,6.987555971484989e-27,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,26,-95.22500000000001,161.89999999999995,-51.79999999999998,3.989109286481996e-23,1.2373981717144351e-26,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,27,-94.03499999999998,162.60000000000002,-51.79999999999998,7.048460764519469e-23,2.1645867161453218e-26,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,28,-92.84499999999998,163.29500000000004,-51.79999999999998,1.246554467167223e-22,3.7848732904250156e-26,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,29,-91.65,163.975,-51.79999999999998,2.176377440667127e-22,6.688443997393776e-26,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,30,-90.44500000000002,164.64999999999998,-51.79999999999998,3.6804985907806204e-22,1.1605337590104776e-25,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,31,-89.24000000000001,165.31500000000003,-51.79999999999998,5.986463296617324e-22,1.9762919651648365e-25,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,32,-88.03000000000002,165.97000000000003,-51.79999999999998,9.66736559367424e-22,3.385804930315977e-25,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,33,-86.815,166.61999999999998,-51.79999999999998,1.6728598211962003e-21,5.818235048542493e-25,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,34,-85.58999999999999,167.25499999999994,-51.79999999999998,3.100610309341339e-21,1.0035644693856273e-24,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,35,-84.36499999999998,167.88499999999996,-51.79999999999998,5.41144949670566e-21,1.7252044531955422e-24,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,36,-83.13499999999996,168.505,-51.79999999999998,8.147837130205117e-21,2.8359586494670054e-24,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,37,-81.89999999999998,169.115,-51.79999999999998,1.1017689540521581e-20,4.457023521497581e-24,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,38,-80.66,169.71999999999997,-51.79999999999998,1.8240654069991492e-20,7.353424751626732e-24,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,39,-79.41999999999999,170.30999999999997,-51.79999999999998,3.5975719651250353e-20,1.2342914047877897e-23,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,40,-78.17,170.89499999999995,-51.79999999999998,5.981123940542835e-20,1.9960230338088425e-23,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,41,-76.91499999999999,171.47000000000003,-51.79999999999998,7.508942605577975e-20,3.094724186230135e-23,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,42,-75.66,172.03500000000005,-51.79999999999998,1.0200860408096892e-19,4.3961259646143154e-23,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,43,-74.39499999999998,172.58999999999995,-51.79999999999998,1.3143667264544949e-19,6.565722380786864e-23,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,44,-73.12999999999998,173.13499999999996,-51.79999999999998,2.292900777723438e-19,1.006398825367728e-22,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,45,-71.85999999999999,173.67499999999998,-51.79999999999998,4.2674232120347397e-19,1.578895415717081e-22,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,46,-70.585,174.195,-51.79999999999998,7.894080372471166e-19,2.6058095653695385e-22,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,47,-69.31,174.71500000000003,-51.79999999999998,1.4614460177403265e-18,4.459512770451911e-22,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,48,-68.03,175.22499999999997,-51.79999999999998,2.660684297485516e-18,8.064813001560946e-22,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,49,-66.74500000000002,175.72499999999994,-51.79999999999998,4.5697348907128005e-18,1.4482844083712562e-21,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,50,-65.45499999999998,176.21000000000004,-51.79999999999998,8.650090342659396e-18,2.5598366981156664e-21,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,51,-64.16499999999999,176.695,-51.79999999999998,1.9866610453866832e-17,4.816995207136919e-21,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,52,-62.870000000000005,177.15999999999997,-51.79999999999998,4.0547908553942724e-17,9.700006508880885e-21,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,53,-61.56999999999998,177.62500000000006,-51.79999999999998,6.115492752052088e-17,1.8077620236285816e-20,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,54,-60.26499999999999,178.07499999999996,-51.79999999999998,6.584981726939642e-17,2.849025839804143e-20,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,55,-58.96000000000001,178.52000000000007,-51.79999999999998,1.157370466002253e-16,4.1926516796157465e-20,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,56,-57.64999999999998,178.94999999999993,-51.79999999999998,2.852197109913694e-16,7.434353321177685e-20,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,57,-56.34,179.37000000000006,-51.79999999999998,4.678339263235457e-16,1.375801237194754e-19,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,58,-55.02500000000002,179.785,-51.79999999999998,4.595419065624679e-16,2.1158627128852916e-19,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,59,-53.699999999999996,180.18499999999997,-51.79999999999998,4.032520907066324e-16,2.427616075340867e-19,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,60,-52.38500000000001,180.57999999999996,-51.79999999999998,6.126803485352029e-16,3.0176755245599507e-19,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,61,-51.05999999999998,180.96000000000004,-51.79999999999998,1.2285203277613311e-15,4.861644381988676e-19,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,62,-49.73000000000001,181.33500000000004,-51.79999999999998,2.296744861031601e-15,7.564405620044648e-19,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,63,-48.39999999999999,181.69499999999996,-51.79999999999998,5.583345952494487e-15,1.3412443671385939e-18,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,64,-47.06500000000001,182.055,-51.79999999999998,1.0082909592457453e-14,2.6289083489095444e-18,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,65,-45.72999999999999,182.39500000000004,-51.79999999999998,1.2708438944546247e-14,4.567063766906682e-18,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,66,-44.39000000000001,182.73000000000002,-51.79999999999998,1.333943602777978e-14,6.720982325855533e-18,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,67,-43.05,183.05500000000006,-51.79999999999998,2.4143909454598242e-14,1.0507791829033163e-17,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,68,-41.71000000000001,183.36999999999995,-51.79999999999998,4.6851476532359194e-14,1.7970197411817865e-17,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,69,-40.37,183.67000000000004,-51.79999999999998,7.507531359781446e-14,2.979288170309375e-17,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,70,-39.02,183.96499999999997,-51.79999999999998,1.1108925074956862e-13,4.5558304896809584e-17,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,71,-37.67,184.24999999999997,-51.79999999999998,1.5260025439138895e-13,6.380052750535868e-17,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,72,-36.315,184.52000000000004,-51.79999999999998,2.0185079699577107e-13,8.268717410196856e-17,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,73,-34.965,184.78999999999996,-51.79999999999998,3.753404685364239e-13,1.2550072483679682e-16,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,74,-33.610000000000014,185.04000000000005,-51.79999999999998,8.022695007409958e-13,2.3475555590257343e-16,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,75,-32.25,185.28500000000003,-51.79999999999998,1.4073881377553394e-12,3.9982504644230465e-16,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,76,-30.895000000000007,185.52000000000004,-51.79999999999998,1.7454174686241843e-12,6.307502254724523e-16,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,77,-29.52999999999999,185.745,-51.79999999999998,2.066439547561776e-12,1.035861619140034e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,78,-28.165000000000003,185.95499999999998,-51.79999999999998,4.033084925763986e-12,1.8438383588253904e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,79,-26.804999999999986,186.16000000000003,-51.79999999999998,8.637034676418764e-12,3.2031784961596957e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,80,-25.44,186.35000000000008,-51.79999999999998,1.4424966933498658e-11,4.955485837527143e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,81,-24.070000000000004,186.54,-51.79999999999998,2.1218777615031404e-11,7.127135811562855e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,82,-22.705,186.70999999999995,-51.79999999999998,3.192977583301681e-11,1.0700354396845486e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,83,-21.330000000000005,186.87499999999994,-51.79999999999998,5.107629023955816e-11,1.6213441297515744e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,84,-19.964999999999996,187.03000000000006,-51.79999999999998,7.76824524762623e-11,2.3754523205847835e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,85,-18.590000000000003,187.17000000000002,-51.79999999999998,1.0665430944091981e-10,3.4312676877671224e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,86,-17.215,187.30499999999995,-51.79999999999998,1.3279119410437832e-10,4.934159993410199e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,87,-15.845,187.425,-51.79999999999998,1.6634278762533934e-10,6.950528551804841e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,88,-14.470000000000004,187.53500000000005,-51.79999999999998,2.2229732272606488e-10,9.574514900398798e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,89,-13.095000000000004,187.63499999999993,-51.79999999999998,2.993805474090272e-10,1.3078332927616834e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,90,-11.714999999999998,187.735,-51.79999999999998,3.775344866310422e-10,1.8403850443513455e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,91,-10.339999999999998,187.81500000000003,-51.79999999999998,4.941732136606484e-10,2.759882013268233e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,92,-8.96,187.88500000000008,-51.79999999999998,9.221970455004524e-10,4.4630134240314003e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,93,-7.584999999999997,187.94499999999996,-51.79999999999998,1.923652293596323e-09,7.768972051715004e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,94,-6.204999999999999,187.995,-51.79999999999998,3.2355628976263867e-09,1.3509689976741403e-12,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,95,-4.825000000000002,188.03499999999997,-51.79999999999998,6.035315640289759e-09,2.2373835374184867e-12,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,96,-3.450000000000001,188.065,-51.79999999999998,9.24423029259073e-09,3.620650823982798e-12,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,97,-2.0700000000000003,188.08999999999997,-51.79999999999998,1.3536643594846616e-08,5.948889851070819e-12,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
